Cov,CLF17,CLG17,CLH17,CLJ17,CLK17,CLM17,CLN17,CLQ17,CLU17,CLZ17,CSZ16,CSF17,CSG17,CSH17,CSJ17,CSK17,CSM17,CSN17,CSQ17,CSU17,CSV17,CSX17,CSZ17,WBSF17,WBSG17,WBSH17,WBSJ17,WBSK17,WBSM17,WBSN17,WBSQ17,WBSU17,WBSZ17,WSPZ16,WSPF17,WSPG17,WSPH17,WSPJ17,WSPK17,WSPM17,0
CSV17,1.08188e-05,-3.07926e-05,-6.77691e-05,-0.000173007,0.000746915,-0.000236666,0.000725194,8.00303e-05,0.00327722,-0.000216816,0.000131517,-0.000289069,-0.000150797,-2.71816e-05,-2.08292e-05,6.65819e-05,-0.000207661,-0.000121168,8.16288e-07,2.33728e-05,0.000169409,-1.55851e-05,2.0171e-05,2.43431e-05,-1.26501e-05,1.58314e-05,-0.000285981,-5.44706e-05,0.000108905,0.000121794,0.000158707,0.000153192,0.000196289,0.000209827,4.39451e-06,-3.65873e-05,-8.22322e-05,-0.000120431,-4.77954e-06,3.33209e-05,0
CSX17,1.88503e-05,-1.48477e-05,9.29263e-07,-0.000243011,-0.000389732,7.51616e-05,-0.000572145,6.82659e-05,-0.00172053,0.000115542,-4.76945e-05,0.000118947,7.0058e-05,1.91222e-05,1.40355e-05,-7.43509e-05,0.000116034,7.40944e-05,-1.00914e-06,-5.6251e-06,-1.55851e-05,3.86262e-05,-9.38633e-06,-2.5229e-05,-9.84902e-06,-2.40939e-05,9.84521e-05,6.221e-05,-5.01433e-05,-5.59703e-05,-7.65668e-05,-7.47409e-05,-8.80048e-05,-9.16201e-05,6.26527e-06,-1.4269e-05,2.34125e-05,3.87394e-05,3.20669e-06,1.16029e-06,0
CSZ17,1.4442e-06,1.70296e-06,-5.0425e-05,-7.37494e-06,6.99886e-05,-6.81492e-05,0.000287416,6.24296e-05,0.00127702,-2.21138e-05,1.57328e-05,-3.67002e-05,-2.76648e-05,-1.09926e-05,-5.40443e-06,4.21917e-05,-6.48597e-05,-3.75785e-05,9.32729e-07,4.79407e-06,2.0171e-05,-9.38633e-06,6.48088e-05,1.03389e-05,4.00443e-06,1.22204e-05,-4.09124e-05,-3.39033e-05,1.72293e-05,3.09864e-05,4.18611e-05,3.14623e-05,2.3356e-05,2.29063e-05,9.31581e-06,-5.23001e-06,-4.68105e-05,-6.81013e-05,-2.15175e-07,5.94134e-06,0
WBSF17,6.21943e-06,2.52562e-05,3.89037e-05,0.0001153,0.0012681,-0.000285609,0.00117691,-0.000292939,0.0050948,-0.000358144,0.000192677,-0.000343327,-0.000261721,-4.19589e-05,-6.13067e-06,0.000137108,-0.000335436,-0.000239236,1.28605e-05,1.58499e-05,2.43431e-05,-2.5229e-05,1.03389e-05,0.00013472,-1.30417e-05,1.65518e-05,-0.000433957,-0.000100305,0.000185706,0.000186735,0.000238692,0.000265183,0.000313015,0.000327056,2.21657e-06,2.10675e-05,3.92024e-05,7.2365e-05,-9.8853e-06,4.46481e-06,0
WBSG17,-1.92679e-05,2.79463e-05,-8.69497e-05,0.000762662,-0.000205355,0.000123246,0.000263387,3.48397e-05,-0.000785739,5.91774e-05,-8.27551e-05,7.7773e-05,7.51039e-05,9.3806e-06,-1.78846e-05,5.15367e-05,6.66585e-05,2.65016e-05,-8.71391e-06,-1.09089e-05,-1.26501e-05,-9.84902e-06,4.00443e-06,-1.30417e-05,8.70701e-05,-6.36139e-06,0.000158178,-4.08634e-05,-4.47742e-05,-4.39521e-05,-5.31272e-05,-5.69444e-05,-8.22059e-05,-8.46738e-05,-1.99312e-05,1.29233e-05,-6.70441e-05,-8.25676e-05,-1.60281e-06,5.29123e-06,0
WBSH17,-6.57564e-05,3.10438e-05,-3.28584e-05,-6.64554e-05,0.000158463,-5.11227e-05,0.000725969,-5.95753e-05,0.00172479,-0.000157201,3.0224e-05,-0.000123844,-0.000116218,5.4846e-06,1.06841e-05,9.56812e-05,-0.000111481,-5.83734e-05,-5.65373e-06,-6.05917e-06,1.58314e-05,-2.40939e-05,1.22204e-05,1.65518e-05,-6.36139e-06,0.000413263,-5.84052e-05,-8.27202e-05,3.04551e-05,4.16129e-05,8.94784e-05,6.92867e-05,6.89886e-05,6.11464e-05,-5.84719e-05,1.21556e-05,-3.69424e-05,-1.758e-05,5.51953e-06,9.19855e-06,0
WBSJ17,-4.44554e-05,-7.53029e-05,3.7777e-05,0.00103679,-0.00681016,0.00186075,-0.0048088,0.000614049,-0.0255024,0.00193908,-0.00112849,0.00201947,0.00141924,0.000252107,9.54524e-05,-0.000409871,0.00172265,0.00114382,-2.30462e-05,-0.000107005,-0.000285981,9.84521e-05,-4.09124e-05,-0.000433957,0.000158178,-5.84052e-05,0.00293609,0.000345118,-0.00105908,-0.00104817,-0.00131822,-0.00135293,-0.00176443,-0.00184738,-5.98598e-05,-3.06685e-05,6.09032e-05,3.17423e-05,2.36811e-05,-4.03872e-05,0
WBSK17,4.72779e-05,-5.43748e-05,4.03998e-05,-0.000955497,-0.0014239,0.000236174,-0.00254136,0.000200182,-0.0056616,0.000453289,-0.000196581,0.000446767,0.000315375,5.15474e-05,6.57792e-05,-0.000285644,0.000412521,0.000298525,2.2401e-06,-9.89489e-06,-5.44706e-05,6.221e-05,-3.39033e-05,-0.000100305,-4.08634e-05,-8.27202e-05,0.000345118,0.000349425,-0.000186305,-0.000185046,-0.000249497,-0.000242565,-0.000330221,-0.000345606,2.82791e-05,-3.8961e-05,4.81238e-05,6.31533e-05,-3.22124e-06,-3.13931e-05,0
WBSM17,1.18523e-05,7.24808e-06,2.0059e-05,-1.3648e-05,0.00296995,-0.000736161,0.00235019,-0.000342937,0.011119,-0.000841878,0.000471654,-0.000875339,-0.000616489,-0.000118739,-4.87837e-05,0.000242071,-0.000758261,-0.000510775,8.55797e-06,4.26332e-05,0.000108905,-5.01433e-05,1.72293e-05,0.000185706,-4.47742e-05,3.04551e-05,-0.00105908,-0.000186305,0.000495287,0.000433375,0.000559374,0.000538169,0.000743824,0.000775952,1.72696e-05,2.74447e-06,-5.12561e-06,-4.24434e-06,4.94793e-07,1.9352e-05,0
WBSN17,3.2199e-05,3.29517e-05,8.00554e-06,1.60864e-05,0.00292842,-0.000752513,0.00235493,-0.000369187,0.0122096,-0.000833203,0.000464403,-0.000875307,-0.00060428,-0.000137206,-3.29228e-05,0.000274155,-0.000800378,-0.000530362,1.50116e-05,5.54874e-05,0.000121794,-5.59703e-05,3.09864e-05,0.000186735,-4.39521e-05,4.16129e-05,-0.00104817,-0.000185046,0.000433375,0.000488461,0.000597841,0.000590176,0.00074829,0.000779491,2.64312e-05,2.69132e-05,-2.78925e-06,-2.52844e-06,-2.58485e-05,2.34573e-05,0
